,Date,Time,Datetime,Team,Park,Address,Latitude,Longitude,Region,Dome Flag,Last Game of Homestead Flag,Double Header Flag
687,2022-05-27,9:40 pm,2022-05-27 21:40:00,Arizona D'Backs,Chase Field,"P.O. Box 2095, Phoenix, AZ. 85001",33.452922,-112.038669,Pacific,0,0,0
688,2022-05-27,9:40 pm,2022-05-27 21:40:00,Oakland Athletics,Oakland Coliseum,"700 Coliseum Way, Oakland, Ca 94621-1918",37.74923,-122.196487,Pacific,0,0,0
689,2022-05-27,9:40 pm,2022-05-27 21:40:00,San Diego Padres,Petco Park,"P.O. Box 2000, San Diego, CA 92112-2000",32.752148,-117.143635,Pacific,0,0,0
690,2022-05-27,9:40 pm,2022-05-27 21:40:00,Seattle Mariners,T-Mobile Park,"P.O. Box 41000, 411 First Ave. S., Seattle, WA 98104",47.60174,-122.330829,Pacific,1,0,0
691,2022-05-28,12:10 pm,2022-05-28 12:10:00,Boston Red Sox,Fenway Park,"4 Yawkey Way, Boston, MA 02215",42.346613,-71.098817,Northeast,0,0,1
692,2022-05-28,2:10 pm,2022-05-28 14:10:00,Minnesota Twins,Target Field,"501 Chicago Ave. S., Minneapolis, MN 55415",44.974346,-93.259616,Midwest,0,0,0
693,2022-05-28,2:15 pm,2022-05-28 14:15:00,St. Louis Cardinals,Busch Stadium,"250 Stadium Plaza, St. Louis, MO 63102",38.629683,-90.188247,Midwest,0,0,0
694,2022-05-28,4:05 pm,2022-05-28 16:05:00,Washington Nationals,Nationals Park,"1500 South Capitol Street SE, Washington, DC",38.87,-77.01,Northeast,0,0,0
695,2022-05-28,4:07 pm,2022-05-28 16:07:00,Oakland Athletics,Oakland Coliseum,"700 Coliseum Way, Oakland, Ca 94621-1918",37.74923,-122.196487,Pacific,0,0,0
696,2022-05-28,4:10 pm,2022-05-28 16:10:00,Detroit Tigers,Comerica Park,"2100 Woodward Ave., Detroit, MI 48201",42.346354,-83.059619,Midwest,0,0,0
697,2022-05-28,4:10 pm,2022-05-28 16:10:00,Cincinnati Reds,Great American Ball Park,"100 Cinergy Field, Cincinnati, OH 45202",39.107183,-84.507713,Midwest,0,0,0
698,2022-05-28,4:10 pm,2022-05-28 16:10:00,Atlanta Braves,SunTrust Park,"P.O. Box 4064, Atlanta, GA. 30302",33.74691,-84.391239,Southeast,0,0,0
699,2022-05-28,4:10 pm,2022-05-28 16:10:00,Tampa Bay Rays,Tropicana Field,"1 Tropicana Drive, St. Petersburg, FL 33705",27.768487,-82.648191,Southeast,1,0,0
700,2022-05-28,6:10 pm,2022-05-28 18:10:00,Boston Red Sox,Fenway Park,"4 Yawkey Way, Boston, MA 02215",42.346613,-71.098817,Northeast,0,0,1
701,2022-05-28,7:15 pm,2022-05-28 19:15:00,Arizona D'Backs,Chase Field,"P.O. Box 2095, Phoenix, AZ. 85001",33.452922,-112.038669,Pacific,0,0,0
702,2022-05-28,7:15 pm,2022-05-28 19:15:00,New York Mets,Citi Field,"Roosevelt Ave & 126th Street, New York, NY 11368",40.75535,-73.843219,Northeast,0,0,0
703,2022-05-28,7:15 pm,2022-05-28 19:15:00,Chicago White Sox,Guaranteed Rate Field,"333 W. 35th Street, Chicago, IL 60616",41.830883,-87.635083,Midwest,0,0,0
704,2022-05-28,10:07 pm,2022-05-28 22:07:00,Los Angeles Angels,Angel Stadium of Anaheim,"2000 Gene Autry Way, Anaheim, CA. 92806",33.799572,-117.889031,Pacific,0,0,0
705,2022-05-28,10:10 pm,2022-05-28 22:10:00,San Diego Padres,Petco Park,"P.O. Box 2000, San Diego, CA 92112-2000",32.752148,-117.143635,Pacific,0,0,0
706,2022-05-28,10:10 pm,2022-05-28 22:10:00,Seattle Mariners,T-Mobile Park,"P.O. Box 41000, 411 First Ave. S., Seattle, WA 98104",47.60174,-122.330829,Pacific,1,0,0
